Container|isLeft|Columns|Levels|GraphNode
0|true|0|3|1
0|true|1|3|2
0|true|2|3|3
0|false|0|3|16
0|false|1|3|15
0|false|2|3|14
1|true|0|3|16
1|true|1|3|15
1|true|2|3|14
1|false|0|3|19
1|false|1|3|20
1|false|2|3|21
2|true|0|3|19
2|true|1|3|20
2|true|2|3|21
2|false|0|3|34
2|false|1|3|33
2|false|2|3|32
3|true|0|3|34
3|true|1|3|33
3|true|2|3|32
3|false|0|3|37
3|false|1|3|38
3|false|2|3|39
4|true|0|3|5
4|true|1|3|6
4|true|2|3|7
4|false|0|3|12
4|false|1|3|11
4|false|2|3|10
5|true|0|3|12
5|true|1|3|11
5|true|2|3|10
5|false|0|3|23
5|false|1|3|24
5|false|2|3|25
6|true|0|3|23
6|true|1|3|24
6|true|2|3|25
6|false|0|3|30
6|false|1|3|29
6|false|2|3|28
7|true|0|3|30
7|true|1|3|29
7|true|2|3|28
7|false|0|3|41
7|false|1|3|42
7|false|2|3|43
